Series,Axis,Value
Long March,Orbit Diversity (Norm),54.55
Minotaur,Launch Count (Norm),2.80
Minotaur,Success Rate (0-100),89.66
Minotaur,LEO Capacity (Norm),1.13
Minotaur,Annual Cadence (Norm),2.45
Minotaur,Orbit Diversity (Norm),27.27
MOMO,Launch Count (Norm),0.39
MOMO,Success Rate (0-100),25.00
MOMO,LEO Capacity (Norm),0.00
MOMO,Annual Cadence (Norm),2.70
MOMO,Orbit Diversity (Norm),4.55
Mu,Launch Count (Norm),2.89
Mu,Success Rate (0-100),86.67
Mu,LEO Capacity (Norm),0.79
Mu,Annual Cadence (Norm),2.19
Mu,Orbit Diversity (Norm),18.18
New Glenn,Launch Count (Norm),0.10
New Glenn,Success Rate (0-100),100.00
New Glenn,LEO Capacity (Norm),47.37
New Glenn,Annual Cadence (Norm),2.70
New Glenn,Orbit Diversity (Norm),4.55
Nodong,Launch Count (Norm),0.77
Nodong,Success Rate (0-100),50.00
Nodong,LEO Capacity (Norm),0.00
Nodong,Annual Cadence (Norm),1.80
Nodong,Orbit Diversity (Norm),4.55
Pegasus,Launch Count (Norm),4.44
Pegasus,Success Rate (0-100),93.48
Pegasus,LEO Capacity (Norm),0.45
Pegasus,Annual Cadence (Norm),3.89
Pegasus,Orbit Diversity (Norm),13.64
Proton / UR-500,Launch Count (Norm),41.08
Proton / UR-500,Success Rate (0-100),89.20
Proton / UR-500,LEO Capacity (Norm),19.91
Proton / UR-500,Annual Cadence (Norm),18.57
Proton / UR-500,Orbit Diversity (Norm),63.64
PSLV,Launch Count (Norm),5.21
PSLV,Success Rate (0-100),94.44
PSLV,LEO Capacity (Norm),3.84
PSLV,Annual Cadence (Norm),4.71
PSLV,Orbit Diversity (Norm),27.27
R-36O,Launch Count (Norm),2.22
R-36O,Success Rate (0-100),91.30
R-36O,LEO Capacity (Norm),0.00
R-36O,Annual Cadence (Norm),8.88
R-36O,Orbit Diversity (Norm),9.09
R-7,Launch Count (Norm),60.95
R-7,Success Rate (0-100),92.41
R-7,LEO Capacity (Norm),2.73
R-7,Annual Cadence (Norm),33.49
R-7,Orbit Diversity (Norm),45.45
Redstone,Launch Count (Norm),1.16
Redstone,Success Rate (0-100),66.67
Redstone,LEO Capacity (Norm),0.01
Redstone,Annual Cadence (Norm),8.11
Redstone,Orbit Diversity (Norm),18.18
Rokot,Launch Count (Norm),3.09
Rokot,Success Rate (0-100),90.63
Rokot,LEO Capacity (Norm),1.95
Rokot,Annual Cadence (Norm),3.33
Rokot,Orbit Diversity (Norm),18.18
S-Series,Launch Count (Norm),0.10
S-Series,Success Rate (0-100),0.00
S-Series,LEO Capacity (Norm),0.00
S-Series,Annual Cadence (Norm),2.70
S-Series,Orbit Diversity (Norm),4.55
Saturn,Launch Count (Norm),3.09
Saturn,Success Rate (0-100),93.75
Saturn,LEO Capacity (Norm),69.08
Saturn,Annual Cadence (Norm),6.65
Saturn,Orbit Diversity (Norm),18.18
Scout,Launch Count (Norm),10.51
Scout,Success Rate (0-100),88.99
Scout,LEO Capacity (Norm),0.15
Scout,Annual Cadence (Norm),8.42
Scout,Orbit Diversity (Norm),22.73
Shavit,Launch Count (Norm),1.25
Shavit,Success Rate (0-100),84.62
Shavit,LEO Capacity (Norm),0.00
Shavit,Annual Cadence (Norm),0.92
Shavit,Orbit Diversity (Norm),4.55
Smart Dragon,Launch Count (Norm),0.87
Smart Dragon,Success Rate (0-100),100.00
Smart Dragon,LEO Capacity (Norm),0.16
Smart Dragon,Annual Cadence (Norm),3.04
Smart Dragon,Orbit Diversity (Norm),13.64
Soyuz,Launch Count (Norm),91.71
Soyuz,Success Rate (0-100),96.85
Soyuz,LEO Capacity (Norm),7.34
Soyuz,Annual Cadence (Norm),41.46
Soyuz,Orbit Diversity (Norm),36.36
Space Launch System,Launch Count (Norm),0.10
Space Launch System,Success Rate (0-100),100.00
Space Launch System,LEO Capacity (Norm),100.00
Space Launch System,Annual Cadence (Norm),2.70
Space Launch System,Orbit Diversity (Norm),4.55
Sputnik,Launch Count (Norm),0.58
Sputnik,Success Rate (0-100),83.33
Sputnik,LEO Capacity (Norm),1.47
Sputnik,Annual Cadence (Norm),2.03
Sputnik,Orbit Diversity (Norm),4.55
Starship,Launch Count (Norm),1.83
Starship,Success Rate (0-100),63.16
Starship,LEO Capacity (Norm),26.32
Starship,Annual Cadence (Norm),7.34
Starship,Orbit Diversity (Norm),4.55
Start,Launch Count (Norm),0.68
Start,Success Rate (0-100),85.71
Start,LEO Capacity (Norm),0.67
Start,Annual Cadence (Norm),1.35
Start,Orbit Diversity (Norm),13.64
Taepodong,Launch Count (Norm),0.77
Taepodong,Success Rate (0-100),37.50
Taepodong,LEO Capacity (Norm),0.00
Taepodong,Annual Cadence (Norm),1.35
Taepodong,Orbit Diversity (Norm),9.09
Terran,Launch Count (Norm),0.10
Terran,Success Rate (0-100),0.00
Terran,LEO Capacity (Norm),1.56
Terran,Annual Cadence (Norm),2.70
Terran,Orbit Diversity (Norm),4.55
Thor,Launch Count (Norm),31.82
Thor,Success Rate (0-100),86.36
Thor,LEO Capacity (Norm),0.32
Thor,Annual Cadence (Norm),38.78
Thor,Orbit Diversity (Norm),40.91
Titan,Launch Count (Norm),21.22
Titan,Success Rate (0-100),93.18
Titan,LEO Capacity (Norm),10.13
Titan,Annual Cadence (Norm),14.16
Titan,Orbit Diversity (Norm),54.55
Trailblazer,Launch Count (Norm),0.39
Trailblazer,Success Rate (0-100),100.00
Trailblazer,LEO Capacity (Norm),0.00
Trailblazer,Annual Cadence (Norm),1.54
Trailblazer,Orbit Diversity (Norm),4.55
Tsiklon,Launch Count (Norm),22.66
Tsiklon,Success Rate (0-100),95.74
Tsiklon,LEO Capacity (Norm),3.67
Tsiklon,Annual Cadence (Norm),14.77
Tsiklon,Orbit Diversity (Norm),18.18
Vega,Launch Count (Norm),2.31
Vega,Success Rate (0-100),91.67
Vega,LEO Capacity (Norm),1.97
Vega,Annual Cadence (Norm),4.63
Vega,Orbit Diversity (Norm),22.73
Vostok,Launch Count (Norm),14.46
Vostok,Success Rate (0-100),92.00
Vostok,LEO Capacity (Norm),4.32
Vostok,Annual Cadence (Norm),11.92
Vostok,Orbit Diversity (Norm),18.18
Vulcan,Launch Count (Norm),0.19
Vulcan,Success Rate (0-100),100.00
Vulcan,LEO Capacity (Norm),20.00
Vulcan,Annual Cadence (Norm),2.70
Vulcan,Orbit Diversity (Norm),9.09
Zenith,Launch Count (Norm),8.10
Zenith,Success Rate (0-100),86.90
Zenith,LEO Capacity (Norm),6.10
Zenith,Annual Cadence (Norm),6.88
Zenith,Orbit Diversity (Norm),36.36
Zhuque,Launch Count (Norm),0.48
Zhuque,Success Rate (0-100),60.00
Zhuque,LEO Capacity (Norm),8.76
Zhuque,Annual Cadence (Norm),1.69
Zhuque,Orbit Diversity (Norm),9.09
